Name,Cluster_Name,Cluster
Brook Lopez,Post-Up Bigs,5
Bryce Dejean-Jones,C&S Guards,4
C.J. Watson,C&S Guards,4
CJ McCollum,PnR/Ball handling Guards,1
CJ Miles,Perimeter Wings,6
Cameron Payne,PnR/Ball handling Guards,1
Carl Landry,Post-Up Bigs,5
Carmelo Anthony,Versatile Wings,0
Caron Butler,Perimeter Wings,6
Chandler Parsons,C&S Guards,4
Channing Frye,Perimeter Wings,6
Charlie Villanueva,Perimeter Wings,6
Chase Budinger,Perimeter Wings,6
Chris Andersen,Rolling Bigs,2
Chris Bosh,Stretch 4s,3
Chris Johnson,Perimeter Wings,6
Chris McCullough,Stretch 4s,3
Chris Paul,PnR/Ball handling Guards,1
Clint Capela,Rolling Bigs,2
Cody Zeller,Rolling Bigs,2
Cole Aldrich,Rolling Bigs,2
Corey Brewer,Perimeter Wings,6
Cory Joseph,PnR/Ball handling Guards,1
Courtney Lee,C&S Guards,4
Cristiano Felicio,Rolling Bigs,2
D'Angelo Russell,PnR/Ball handling Guards,1
D.J. Augustin,PnR/Ball handling Guards,1
Damian Lillard,PnR/Ball handling Guards,1
Danilo Gallinari,Versatile Wings,0
Danny Green,Perimeter Wings,6
Dante Cunningham,Perimeter Wings,6
Darrell Arthur,Stretch 4s,3
Darren Collison,C&S Guards,4
Darrun Hilliard,C&S Guards,4
David Lee,Rolling Bigs,2
David West,Post-Up Bigs,5
DeAndre Jordan,Rolling Bigs,2
DeMar DeRozan,PnR/Ball handling Guards,1
DeMarcus Cousins,Stretch 4s,3
DeMarre Carroll,Perimeter Wings,6
Dennis Schroder,PnR/Ball handling Guards,1
Deron Williams,Versatile Wings,0
Derrick Favors,Post-Up Bigs,5
Derrick Rose,PnR/Ball handling Guards,1
Derrick Williams,Stretch 4s,3
Devin Booker,PnR/Ball handling Guards,1
Devin Harris,C&S Guards,4
Dewayne Dedmon,Rolling Bigs,2
Dion Waiters,C&S Guards,4
Dirk Nowitzki,Post-Up Bigs,5
Donald Sloan,PnR/Ball handling Guards,1
Donatas Motiejunas,Stretch 4s,3
Doug McDermott,Perimeter Wings,6
Draymond Green,Stretch 4s,3
Drew Gooden,Stretch 4s,3
Dwight Howard,Post-Up Bigs,5
Dwight Powell,Rolling Bigs,2
Dwyane Wade,PnR/Ball handling Guards,1
E'Twaun Moore,C&S Guards,4
Ed Davis,Rolling Bigs,2
Elfrid Payton,PnR/Ball handling Guards,1
Elton Brand,Rolling Bigs,2
Emmanuel Mudiay,PnR/Ball handling Guards,1
Enes Kanter,Rolling Bigs,2
Eric Bledsoe,PnR/Ball handling Guards,1
Eric Gordon,C&S Guards,4
Ersan Ilyasova,Stretch 4s,3
Evan Fournier,C&S Guards,4
Evan Turner,PnR/Ball handling Guards,1
Festus Ezeli,Rolling Bigs,2
Frank Kaminsky,Stretch 4s,3
Garrett Temple,Perimeter Wings,6
Gary Harris,C&S Guards,4
Gary Neal,C&S Guards,4
George Hill,C&S Guards,4
Gerald Green,Perimeter Wings,6
Gerald Henderson,Versatile Wings,0
Giannis Antetokounmpo,Versatile Wings,0
Glenn Robinson III,Perimeter Wings,6
